,trailingEps,forwardEps,enterpriseToRevenue,ebitda,returnOnAssets,returnOnEquity,debtToEquity,heldPercentInstitutions,priceToBook,enterpriseValue,marketCap,operatingCashflow,averageVolume,trailingPE,forwardPE,HistoricalReturn,HistoricalReturnRisk,PricePerShare
COG.AX,-0.028,,1.543,51378000.0,0.05212,0.14373,117.175,0.4378,16.704546,495256832.0,274134432.0,208194000.0,37599.0,,,0.21634077593065693,0.4453852698477293,1.4700000286102295
COH.AX,-2.513,4.94,7.682,417500000.0,0.09734,0.1713,15.062,0.48924,8.257387,12661929984.0,13564141568.0,376500000.0,153718.0,-82.06128182280268,41.74493951836095,0.17978787797745646,0.22246431876000408,206.22000122070312
COI.AX,-0.014,-0.01,30255.857,-3473000.0,-0.026129998,-0.17628999,40.883,0.00093000004,2.6086957,181535136.0,154806128.0,-3359000.0,1598680.0,-12.857143368039813,-18.000000715255737,0.14786194948459666,0.9062487811459969,0.18000000715255737
COL.AX,0.786,0.8,0.798,2337999872.0,0.059860002,0.35304,312.932,0.31681,8.155757,31279939584.0,22793058304.0,2689999872.0,3676061.0,21.71755686364404,21.337499618530273,0.14454882567990263,0.19804878043116123,17.06999969482422
CPU.AX,0.432,0.88,6.47,550019008.0,0.03509,0.10182,122.843,0.38903,9.257903,16594702336.0,16795741184.0,494535008.0,2019671.0,64.39814744172273,31.613636016845703,0.157782310123693,0.1760366108851837,27.81999969482422
CQE.AX,0.279,0.2,13.113,,0.03733,0.26843,37.044,0.39888,1.1265279,1774154112.0,1241751552.0,64800000.0,991307.0,12.222222529859097,17.050000429153442,0.2818304066582284,0.13232641262207978,3.4100000858306885
CQR.AX,0.113,0.28,6.749,,0.06981,0.25722,37.492,0.63588,1.081081,3367506176.0,2359786240.0,158200000.0,1291128.0,36.10619401509783,14.571428298950194,0.18003710873853743,0.1135035505512712,4.079999923706055
CRN.AX,-0.263,0.84,0.931,1314349056.0,0.28836,0.82202005,26.501,0.1864,3.4219553,3099389184.0,3344517888.0,903382016.0,5411644.0,-7.585551348929169,2.375000005676633,-0.18547714993735986,0.29496673157956804,1.9950000047683716
CSL.AX,7.574,8.18,12.483,3324900096.0,0.07976,0.19641,66.251,0.33945,16.588741,131839950848.0,142341357568.0,2628699904.0,708203.0,39.25534820758104,36.34718915943995,0.24249646730839283,0.1776789268098281,297.32000732421875
CSR.AX,0.236,,0.961,269900000.0,0.05731,0.26452,17.432,0.40568,2.0094259,2221206784.0,2276446208.0,215300000.0,1995880.0,,,0.28543133037430884,0.3912241578929999,4.690000057220459
CTD.AX,-0.674,0.96,6.565,10727000.0,-0.0020299999,0.00079,4.471,0.29156,2.7480028,2477296128.0,2318482688.0,73915000.0,399430.0,-24.495549301011625,17.197916905085247,0.2842931340541047,0.29883856403100656,16.510000228881836
CTX.AX,,,,,,,,,,,,,,,,,,
